id,code,question_type,description,parent_question_id,subcategory_id,is_required,position,input_type
1,A,unique_response,¿Número de personas aproximado que se observaron fumando en el periodo de dos horas?,,1,1,1.0,NUM
2,B,matrix_parent,"Usted identifica que el sexo de los fumadores es … (
especificar , cada opción señalada representa el número de personas con
esas características, es decir, no puedo señalar más de una opción para
nombrar una misma persona).",,1,1,2.0,NUM
3,B.2,matrix_child,Hombre,2.0,1,1,2.0,NUM
4,B.1,matrix_child,Mujer,2.0,1,1,1.0,NUM
5,C,matrix_parent,Usted identifica que la pertenencia étnica de los fumadores es….,,1,1,3.0,NUM
6,C.1,matrix_child,Mestizos,5.0,1,1,1.0,NUM
7,C.2,matrix_child,Indígena,5.0,1,1,2.0,NUM
8,C.3,matrix_child,Afrodecendiente,5.0,1,1,3.0,NUM
9,D,matrix_parent,¿En qué curso de vida se encuentran las personas que están fumando?,,1,1,4.0,NUM
10,D.1,matrix_child,Adolescente (12-18 años),9.0,1,1,1.0,NUM
11,D.2,matrix_child,Joven(14-26 años),9.0,1,1,2.0,NUM
12,D.3,matrix_child,Adulto (27-59 años),9.0,1,1,3.0,NUM
13,D.4,matrix_child,Adulto Mayor (> 60 años),9.0,1,1,4.0,NUM
14,E,matrix_parent,¿Qué fuma la persona?,,1,1,5.0,NUM
15,E.1,matrix_child,"Cigarrillo (especificar en comentarios que tipo de cigarrillo es, ej: herbal o de otro tipo)",14.0,1,1,1.0,NUM
16,E.2,matrix_child,Vapeador,14.0,1,1,2.0,NUM
17,F,matrix_parent,"¿En caso de consumo de cigarrillo, cómo   el consumidor accedió a este?",,1,0,6.0,NUM
18,F.1,matrix_child,Lo traía consigo,17.0,1,0,1.0,NUM
21,F.3,matrix_child,Compro en un lugar de venta,17.0,1,0,3.0,NUM
22,G,matrix_parent,¿ En caso de consumo de marihuana cómo   el consumidor accedió a este?,,1,0,7.0,NUM
23,G.1,matrix_child,Lo traía consigo,22.0,1,0,1.0,NUM
25,G.3,matrix_child,Se lo ofreció un acompañante,22.0,1,0,3.0,NUM
26,G.4,matrix_child,Compro en un lugar de venta,22.0,1,0,4.0,NUM
27,H,matrix_parent,"¿En caso de consumo de vapeador, cómo   el consumidor accedió a este?",,1,0,8.0,NUM
28,H.1,matrix_child,Lo traía consigo,27.0,1,0,1.0,NUM
30,H.3,matrix_child,Se lo ofreció un acompañante,27.0,1,0,3.0,NUM
31,H.4,matrix_child,Compro en un lugar de venta,27.0,1,0,4.0,NUM
33,B.4,matrix_child,Expresión mixta/no definida,2.0,1,1,4.0,NUM
34,B.5,matrix_child,Indeterminada,2.0,1,1,5.0,NUM
35,E.3,matrix_child,Marihuana,14.0,1,1,3.0,NUM
36,F.4,matrix_child,Se lo ofreció un acompañante,17.0,1,0,4.0,NUM
38,I,matrix_parent,¿El fumar tabaco  es acompañado de  consumo de otras sustancias?,,1,0,9.0,NUM
39,I.1,matrix_child,Bebidas alcohólicas,38.0,1,0,1.0,NUM
40,I.2,matrix_child,bebidas azucaradas,38.0,1,0,2.0,NUM
41,I.3,matrix_child,jugo natural,38.0,1,0,3.0,NUM
47,K,matrix_parent,Alrededor de la práctica de fumar ¿Se observa además consumo de algún alimento?,,1,0,11.0,NUM
48,K.1,matrix_child,Empaquetados,47.0,1,0,1.0,NUM
49,k.2,matrix_child,Frituras,47.0,1,0,2.0,NUM
50,k.3,matrix_child,Dulces (solidos),47.0,1,0,3.0,NUM
51,k.4,matrix_child,Proteína,47.0,1,0,4.0,NUM
52,L,matrix_parent,¿Qué actividades se encuentran realizando las personas fumadoras?,,1,0,12.0,NUM
53,L.1,matrix_child,Manipulando un computador,52.0,1,0,1.0,NUM
54,L.2,matrix_child,Manipulando un celular,52.0,1,0,2.0,NUM
55,L.3,matrix_child,"Manipulando  un cuaderno, libro, hojas",52.0,1,0,3.0,NUM
56,L.4,matrix_child,Hablando con otras personas,52.0,1,0,4.0,NUM
57,M,unique_response,"¿Ante el acto de fumar, se observan personas que reclaman y rechazan tal conducta? ¿Cuántas?",,1,0,13.0,NUM
58,N,matrix_parent,"En caso de haber reclamo, ¿Cómo reacciona la persona que está fumando?",,1,0,14.0,NUM
59,N.1,matrix_child,Se aleja de las personas que reclaman,58.0,1,0,1.0,NUM
60,N.2,matrix_child,Responde de forma asertiva,58.0,1,0,2.0,NUM
61,N.3,matrix_child,Responde con agresión verbal,58.0,1,0,3.0,NUM
62,N.4,matrix_child,Responde con agresión física,58.0,1,0,4.0,NUM
63,Ñ,matrix_parent,"¿Al terminar, los fumadores donde depositan las colillas?",,1,0,15.0,NUM
64,Ñ.1,matrix_child,Lo depositan en canecas para la basura,63.0,1,0,1.0,NUM
65,Ñ.2,matrix_child,Lo tiran al piso,63.0,1,0,2.0,NUM
66,Ñ.3,matrix_child,Lo dejan sobre una superficie,63.0,1,0,3.0,NUM
68,II,matrix_parent,¿El fumar marihuana  es acompañado de  consumo de otras sustancias?,,1,0,9.1,NUM
69,II.1,matrix_child,Bebidas alcohólicas,68.0,1,0,1.0,NUM
70,II.2,matrix_child,bebidas azucaradas,68.0,1,0,2.0,NUM
71,II.3,matrix_child,jugo natural,68.0,1,0,3.0,NUM
73,III,matrix_parent,¿El fumar vapeador  es acompañado de consumo de otras sustancias?,,1,0,9.2,NUM
74,III.1,matrix_child,Bebidas alcohólicas,73.0,1,0,1.0,NUM
75,III.2,matrix_child,bebidas azucaradas,73.0,1,0,2.0,NUM
76,III.3,matrix_child,jugo natural,73.0,1,0,3.0,NUM
78,O,unique_response,"¿Cuántas personas no
fumadoras hay en un radio de 2
metros alrededor de las personas
que están fumando?",,2,0,16.0,NUM
79,P,unique_response,¿Ante el acto de fumar se observan fumadores pasivos que reclaman y rechazan  tal conducta?,,2,0,17.0,NUM
80,Q,matrix_parent,En caso de haber reclamo ¿La conducta de los no fumadores frente a esta situación es?,,2,0,18.0,NUM
81,Q.1,matrix_child,Se alejan del fumador,80.0,2,0,1.0,NUM
82,Q.2,matrix_child,Reclamo asertivo,80.0,2,0,2.0,NUM
83,Q.3,matrix_child,Reclaman con agresión verbal,80.0,2,0,3.0,NUM
84,Q.4,matrix_child,Reclaman con agresión física,80.0,2,0,4.0,NUM
85,Q.5,matrix_child,Permanecen en el espacio sin hacer otro reclamo,80.0,2,0,5.0,NUM
86,R,matrix_parent,"¿Las personas que rechazan la conducta de fumar,  en qué curso de vida se encuentran?",,2,0,19.0,NUM
87,R.1,matrix_child,Adolescente,86.0,2,0,1.0,NUM
88,R.2,matrix_child,Joven,86.0,2,0,2.0,NUM
89,R.3,matrix_child,Adulto,86.0,2,0,3.0,NUM
90,R.4,matrix_child,Adulto Mayor,86.0,2,0,4.0,NUM
92,S,matrix_parent,"Los fumadores pasivos que están junto al fumador, ¿en qué curso de vida se encuentran?",,2,0,20.0,NUM
93,S.1,matrix_child,Adolescente,92.0,2,0,1.0,NUM
94,S.2,matrix_child,Joven,92.0,2,0,2.0,NUM
95,S.3,matrix_child,Adulto,92.0,2,0,3.0,NUM
96,S.4,matrix_child,Adulto Mayor,92.0,2,0,4.0,NUM
97,T,unique_response,Hay en el sitio mujeres embarazadas ¿cuántas?,,2,1,20.0,NUM
98,U,unique_response,"¿Hay niños en el lugar que se está observando?, ¿cuántos?.",,2,1,22.0,NUM
99,A,matrix_parent,¿Lugar dónde se encuentra ubicada la venta de Las siguientes sustancias?,,3,1,1.0,STR
100,A.1,matrix_child,cigarrillos,99.0,3,1,1.0,NUM
101,A.2,matrix_child,Marihuana,99.0,3,1,2.0,NUM
102,A.3,matrix_child,Vapeadores,99.0,3,1,3.0,NUM
103,B,matrix_parent,"¿Cuántos expendios de venta de cigarrillos, marihuana y vapeador hay en la zona de concurrencia destinada?",,3,1,2.0,NUM
104,B.1,matrix_child,Cigarrillo,103.0,3,1,1.0,NUM
105,B.2,matrix_child,Marihuana,103.0,3,1,2.0,NUM
106,B.3,matrix_child,Vapeador,103.0,3,1,3.0,NUM
107,C,matrix_parent,¿número de personas que compran por cada forma de venta en los expendios de venta?,,3,0,3.0,NUM
108,C.1,matrix_child,Por unidad,107.0,3,0,1.0,NUM
109,C.2,matrix_child,Menudeo,107.0,3,0,2.0,NUM
110,C.3,matrix_child,Por Cajetillas,107.0,3,0,3.0,NUM
111,D,matrix_parent,"¿Aproximadamente cuántas personas se observan comprando cigarrillos, marihuana, vapeadores?",,3,1,4.0,NUM
112,D.1,matrix_child,Cigarrillos,111.0,3,1,1.0,NUM
113,D.2,matrix_child,Marihuana,111.0,3,1,2.0,NUM
114,D.3,matrix_child,Vapeadores,111.0,3,1,3.0,NUM
116,E,matrix_parent,¿Dónde se ubican los cigarrillos en el puesto de venta?,,4,1,5.0,NUM
117,E.1,matrix_child,A primera vista en una fila,116.0,4,1,1.0,NUM
119,E.2,matrix_child,Debajo de otros productos,116.0,4,1,2.0,NUM
120,E.3,matrix_child,Junto a los dulces,116.0,4,1,3.0,NUM
121,F,matrix_parent,¿En la zona de observación cuantos avisos hay que invitan a fumar?,,4,1,6.0,NUM
122,F.1,matrix_child,Cafetería,121.0,4,1,1.0,NUM
123,F.2,matrix_child,Pasillo,121.0,4,1,2.0,NUM
124,F.3,matrix_child,Mesas de reunión,121.0,4,1,3.0,NUM
125,F.4,matrix_child,Zona verde,121.0,4,1,4.0,NUM
134,G,matrix_parent,Si hay presencia de avisos que invitan a fumar ¿cuáles son las características de estos?,,4,0,7.0,NUM
135,G.1,matrix_child,Visibles,134.0,4,0,1.0,NUM
136,G.2,matrix_child,Ocultos,134.0,4,0,3.0,NUM
137,G.3,matrix_child,Escritos a mano,134.0,4,0,3.0,NUM
138,G.4,matrix_child,Impresos,134.0,4,0,4.0,NUM
139,G.5,matrix_child,Con colores llamativos,134.0,4,0,5.0,NUM
140,G.6,matrix_child,A blanco y negro,134.0,4,0,5.0,NUM
141,H,unique_response,¿Cuantos avisos se observan en la zona de observación?,,4,1,8.0,NUM
142,I,matrix_parent,¿cuáles son las dimensiones aproximadas de los avisos?,,4,0,9.0,NUM
143,I.1,matrix_child,Pequeño (1cm-50cm),142.0,4,0,1.0,NUM
144,I.2,matrix_child,Mediano (50cm-1m),142.0,4,0,2.0,NUM
145,I.3,matrix_child,Grande (mas de 1m),142.0,4,0,3.0,NUM
146,J,unique_response,Se observan fumadores activos alrededor de estos avisos. ¿Cuántos?,,4,0,10.0,NUM
147,A,matrix_parent,¿En qué lugar están fumando?,,5,1,1.0,NUM
148,A.1,matrix_child,Cafetería,147.0,5,1,1.0,NUM
149,A.2,matrix_child,Zona verde,147.0,5,1,2.0,NUM
151,A.3,matrix_child,canchas,147.0,5,1,3.0,NUM
152,A.4,matrix_child,Baños,147.0,5,1,4.0,NUM
153,A.5,matrix_child,Mesas de estudio o encuentro,147.0,5,1,4.0,NUM
154,B,unique_response,"¿A qué distancia aproximada, el observador percibe el humo?",,5,0,2.0,STR
155,C,matrix_parent,¿En qué lugares se observan desechos de colillas de cigarrillos?,,5,0,3.0,NUM
156,C.1,matrix_child,Piso,155.0,5,0,1.0,NUM
157,C.2,matrix_child,Pasto,155.0,5,0,2.0,NUM
158,C.3,matrix_child,Mesas,155.0,5,0,3.0,NUM
159,C.4,matrix_child,Sillas,155.0,5,0,4.0,NUM
160,C.5,matrix_child,Canecas para su recolección,155.0,5,0,5.0,NUM
161,D,matrix_parent,¿En qué lugares se observan desechos de colillas de  marihuana?,,5,0,4.0,NUM
162,D.1,matrix_child,Piso,161.0,5,0,1.0,NUM
163,D.2,matrix_child,Pasto,161.0,5,0,2.0,NUM
164,D.3,matrix_child,Mesas,161.0,5,0,3.0,NUM
165,D.4,matrix_child,Sillas,161.0,5,0,4.0,NUM
166,D.5,matrix_child,Canecas para su recoleccion,161.0,5,0,5.0,NUM
167,E,unique_response,Hay elementos recolectores para el depósito de colillas  ¿cuántos?,,5,1,5.0,NUM
169,F,matrix_parent,¿En qué lugares se encuentran ubicados los avisos advirtiendo que fumar está prohibido?,,5,0,6.0,NUM
170,F.1,matrix_child,Cafetería,169.0,5,0,1.0,NUM
171,F.2,matrix_child,Pasillo,169.0,5,0,2.0,NUM
172,F.3,matrix_child,Mesas de reunión,169.0,5,0,3.0,NUM
173,F.4,matrix_child,Zona verde,169.0,5,0,4.0,NUM
174,G,matrix_parent,¿Estado de los avisos que advierten que fumar está prohibido?,,5,0,7.0,NUM
175,G.1,matrix_child,Buen estado,174.0,5,0,1.0,NUM
176,G.2,matrix_child,Estado deteriorado,174.0,5,0,2.0,NUM
177,H,unique_response,¿De qué tamaño (altura) son los avisos que advierten que fumar está prohibido?,,5,0,8.0,STR
178,I,unique_response,¿Cuántos avisos hay que advierten que fumar está prohibido en los espacios abiertos?,,5,1,9.0,NUM
179,A,matrix_parent,¿En qué lugar se fuma?,,6,1,1.0,NUM
180,A.1,matrix_child,Cafetería,179.0,6,1,1.0,NUM
181,A.2,matrix_child,Zona verde,179.0,6,1,2.0,NUM
182,A.3,matrix_child,Pasillo,179.0,6,1,3.0,NUM
183,A.4,matrix_child,Baños,179.0,6,1,4.0,NUM
184,A.5,matrix_child,Mesas de estudio o encuentro,179.0,6,1,5.0,NUM
185,B,unique_response,¿A qué distancia el observador percibe el humo en espacios cerrados?,,6,0,2.0,STR
186,C,unique_response,¿Cuantos avisos hay que advierten que fumar no está permitido en los espacios cerrados?,,6,1,3.0,NUM
187,D,matrix_parent,¿Estado de los avisos que  advierten que fumar no está permitido?,,6,0,4.0,NUM
188,D.1,matrix_child,Buen estado,187.0,6,0,1.0,NUM
189,D.2,matrix_child,Estado deteriorado,187.0,6,0,2.0,NUM
190,E,unique_response,¿De qué tamaño (altura) son los avisos que  advierten que fumar no está permitido?,,6,0,5.0,STR
191,F,matrix_parent,¿En qué lugares se encuentran ubicados los avisos advirtiendo que fumar está prohibido?,,6,1,6.0,NUM
192,F.1,matrix_child,Cafetería,191.0,6,1,1.0,NUM
193,F.2,matrix_child,Pasillo,191.0,6,1,2.0,NUM
194,F.3,matrix_child,Mesas de estudio o encuentro,191.0,6,1,3.0,NUM
195,F.4,matrix_child,Zona verde,191.0,6,1,4.0,NUM
196,II.4,matrix_child,café,68.0,1,0,4.0,NUM
197,II.5,matrix_child,agua,68.0,1,0,5.0,NUM
198,I.4,matrix_child,café,38.0,1,0,4.0,NUM
199,I.5,matrix_child,agua,38.0,1,0,5.0,NUM
200,III.4,matrix_child,café,73.0,1,0,4.0,NUM
201,III.5,matrix_child,agua,73.0,1,0,5.0,NUM
203,A.6,matrix_child,salón,179.0,6,1,6.0,NUM
204,A.7,matrix_child,oficina,179.0,6,1,7.0,NUM
